Barcode,Description ,Price,Remarks,
829426703629,Veer - Sweet Makhana 200g,$1.99,,
818544021630,Honey Crisp Apples 3lb,$1.89,,
8904063201911,Haldiram's - Multigrain Khari 400g,$5.29,,
8904063254634,Haldiram's - Jeera Khari 400g,$5.29,,
8906013643321,Jagdish - Nylon Gathiya 200g,$2.49,,
8906013645028,Jagdish - Jeera Khakhra 200g,$2.49,,
8906013645066,Jagdish - Masala Khakhra 200g,$2.49,,
8901242107514,Bambino - Roasted Vermicelli 800g,$3.49,,
872198000250,Vidhya - Chat Papdi 285g,$5.49,,
872198000779,Vidhya - Whole Wheat Punjabi Biscuits 1kg,$6.99,,
8904001803221,Idhayam - Peanut Oil 2ltrs,$12.99,,
840033806183,Veer - Rajma Chitra 4lb,$6.99,,
8901262151313,Amul - Kool Koko Chocolate Milk 200ml,$1.99,,
8901262151306,Amul - Kool Cafe Classic Latte 200ml,$1.99,,
628242840149,Bakers Treat - Kulcha Naan 340g,$2.99,,
872198003206,Vidhya - Saunf Tea Rusk 200g,$1.99,,
872198003213,Vidhya - Toast Tea Rusk 200g,$1.99,,
8906018320616,Amar - Alphonso Tidbits,$5.99,,
8906018320265,Amar - Sweetened Alphonso Mango Pulp 850g,$4.99,,
8906018321507,Amar - Unsweetened Alphonso Mango Pulp 850g,$5.49,,
8904001803221,Idhayam - Peanut Oil 2 Ltr,$12.99,,
840033809306,Vrudhi Sesame Oil 1 Ltr,$6.99,,
646127160281,South Sea Pearl - Peeled Garlic 1lb,$6.99,,
709081274637,Happy Leaf - Organic Garam Masala 8oz,$7.49,,
689462003509,A1 - Flax Seeds/Gur Cookies 36oz,$6.99,,
689462000102,A1 - Whole Wheat Biscuits 36oz,$6.99,,
689462000546,A1 - Gur Cookies 36oz,$6.99,,
689462000638,A1 - Tea Toast 200g,$2.49,Same Bar Code As Fennel,
689462000638,A1 - Tea Toast Fennel 200g,$2.49,same Bar Code As Regular,
689462000232,A1 - Sooji Biscuits 36oz,$6.99,,
689462000935,A1 - Ajwain (Carom Seeds) Cookies 36oz,$6.99,,
689462000171,A1 - Zeera Biscuits 36oz,$6.99,,
689462000553,A1 - Ginger and Gur Biscuits 36oz,$6.99,,
845786204118,Hans - Pitted Dates 24oz,$4.99,,
8906020580763,ID - Whole Wheat Parota 80g,$3.49,,
8906020580770,ID - Malabar Parota 80g,$3.49,,
8906020588400,ID - Malabar Parota Value Pack,$6.49,,
8906020588394,ID - Whole Whole Wheat Parota Value Pack       ,$6.49,,
723246287959,Laxmi - Frozen Cassava Chunks 312g,$2.69,,
723246288451,Laxmi - Butter Masala Sauce 12.50oz,$3.99,,
723246288468,Laxmi - Coconut Curry Sauce 12.50oz,$3.99,,
723246288475,Laxmi - Vegetable Curry Sauce 12.50oz,$3.99,,
723246288482,Laxmi - Rogan Josh Sauce 12.50oz,$3.99,,
723246288499,Laxmi - Tikka Masala Sauce 12.50oz,$3.99,,
723246288505,Laxmi - Vindaloo Curry Sauce 12.50oz,$3.99,,
723246287607,Garvi Gujarat - Bhel Mix 1 lb,$6.29,,
817602019343,NIB - Bangoli Sweet,$11.99,,
817602019312,NIB - Malai Gulab Jamun,$11.99,,
817602018865,NIB - Kala Jamun ,$9.99,,
817602018810,NIB - White Cham Cham,$9.99,,
8906000936719,Veer - Roasted Gram Plain 1.5kg,$11.99,,
