Barcode,Description ,Price,Remarks,UPC
8906001055051,Mother's Recipe - Ginger Pickle 300g,$2.29,,
8906001055020,Mother's Recipe - Lime Pickle in Lime Juice 300g,$2.29,,
8906001055112,Mother's Recipe - Onion Pickle 300g,$2.29,,
8907316002181,Mother's Recipe - Kerda Pickle 500g,$2.49,,
A944001995A,Shastha Foods - Nellikai Pickle 500g,$7.49,A in code for these items shouldnt be there,
A944001998A,Shastha Foods - Ginger Thokku 500g,$6.49,,
A944001996A,Shastha Foods - Kadamba Thokku 500g,$6.99,,
A944001981A,Shastha Foods - Gongura Rice Mix 500g,$7.49,,
A944001989A,Shastha Foods - Manathakkali Keerai Thokku 500g,$7.49,,
A944001986A,Shastha Foods - Pepper Kuzhambu 500g,$7.49,,
68656005237,Surati - Lime Hot Pickle 700g,$4.99,Add 0 in Front,
68656005121,Surati - Gorkeri Pickle 800g,$4.99,Add 0 in Front,
68656005060,Surati - Chhundo Pickle 860g,$4.99,Add 0 in Front,
68656005268,Surati - Mango Hot Pickle 700g,$4.99,Add 0 in Front,
68656005114,Surati - Ginger Pickle 700g,$4.99,Add 0 in Front,
68656005053,Surati - Carrot Chilli Pickle 700g,$4.99,Add 0 in Front,
749088800637,India's Nature - Mild Lime Pickle 500g,$3.49,,
856904002172,Verka - Ginger Lime Chilli Pickle 28oz,$4.49,,
856904002066,Verka - Mix Pickle 28oz,$4.49,,
856904002158,Verka - Amla Pickle 28oz,$4.49,,
856904001564,Verka - Punjabi Mango Pickle 28oz,$4.49,,
68656005084,Surati - Karela pickle 28oz,$4.49,Add 0 in Front,
68656004933,Surati - Mixed Pickle 10oz,$2.99,Add 0 in Front,
68656004162,Surati - Green Chilli Pickle 10oz,$2.99,Add 0 in Front,
68656004612,Surati - Chhundo Pickle 10oz,$2.99,Add 0 in Front,
68656004704,Surati - Ginger Pickle 10oz,$2.99,Add 0 in Front,
68656004926,Surati - Mango Shredded Pickle 10oz,$2.99,Add 0 in Front,
8906081380173,Telugu - Tomato Pickle 300g,$2.29,,
785018012299,Priya - Lime Pickle with Garlic 300g,$2.99,,
785018012046,Priya - Citron Pickle with Garlic 300g,$2.99,,
785018012497,Priya - Red Chilli Pickle with Garlic 300g,$2.99,,
785018012114,Priya - Ginger Pickle with Garlic 300g,$2.99,,
785018012602,Priya - Brinjal Pickle with Garlic 300g,$2.99,,
785018012176,Priya - Green Chilli Pickle with Garlic 300g,$2.99,,
785018012459,Priya - Mix Veg Pickle with Garlic 300g,$2.99,,
785018012824,Priya - Mango Pickle with Garlic 300g,$2.99,,
785018012022,Priya - Amla Pickle with Garlic 300g,$2.99,,
785018012138,Priya - Gongura Pickle with Garlic 300g,$2.99,,
785018012886,Priya - Lime Pickle without Garlic 300g,$2.99,,
785018012039,Priya - Citron Pickle without Garlic 300g,$2.99,,
