Barcode,Description ,Price,,,Remarks
6291007910216,Britannia treat creme wafers hazelnut 150g,$1.99,,,
6291007910230,Britannia treat creme wafers vanilla 150g,$1.99,,,
6291007905564,Britannia nutri choice 5grain cookie 250g,$1.99,,,
8901063151437,Britannia tiger glucose biscuits 600g,$2.49,,,
723246284859,Parle 20-20 nice cookies 150g,$1.19,,,
685450116862,Parle-G gold cookies 100g,$0.49,,,
8901063136687,Britannia nice-time 80g,$0.69,,,
723246310336,Parle krack-jack 264.6g,$1.99,,,
723246221861,Parle krack-jack 60g,$0.69,,,
8901063136274,Britannia marie gold 250g,$1.99,,,
8901063136670,Britannia marie gold 150g,$0.99,,,
8901652142112,Priyagold digestive biscuits 700g,$3.49,,,
8901652140248,Priyagold club creme elaichi biscuits 400g,$2.99,,,
8901652141788,Priyagold marielite biscuits 400g,$2.99,,,
8901652142068,Priyagold butter bite pista&almond cookies 600g,$4.99,,,
8901652141801,Priyagold snacks zigzag cookies 400g,$2.99,,,
8901652142723,Priyagold buttermilk cookies 500g,$1.99,,,
8901652140217,Priyagold clubcreme orange biscuits 400g,$2.99,,,
723246310329,Parle monaco cookies 261g,$1.99,,,
723246222080,Parle monaco cookies 63.3g,$0.59,,,
685450116657,Parle Hide&seek black bourbon vanila 100g,$1.49,,,
723246310183,Parle hide&seek bourbon 70g,$0.69,,,
8901063151321,Good-day cashew cookies 75g,$0.69,,,
8901063151345,Good-day pista-almond cookies 75g,$0.69,,,
754003784510,Sabah cotton candy with pista 250g,$4.49,,,Front-0
8901063136250,Britannia little hearts 75g,$0.99,,,
8901063136700,Britannia 50-50 cookies 62g,$0.49,,,
6291007906400,Britannia 50-50 maska chaska 372g,$2.99,,,
723246222868,Parle-G cookies 799g,$1.99,,,
6291007904345,Britannia gobbles double choco cake 250g,$2.79,,,
6291007904352,Britannia gobbles vanila cake 250g,$2.99,,,
8001585001040,Balconi mixmax sponge cake 350g,$3.49,,,
8975850000190,Balconi mixmax sponge cake 350g,$3.49,,,
8001585008278,Balconi snack cacao 350g,$3.99,,,
8001585001101,Balconi snack latte sponge cake 350g,$3.49,,,
897585000170,Balconi snack latte sponge cake 350g,$3.49,,,
8001585002153,Balconi rollmax cacao-cocoa 300g,$3.49,,,
897585000071,Balconi rollmax cacao-cocoa 300g,$3.49,,,
8001585004164,Balconi tiramisu coffee sponge cake 400g,$4.99,,,
897585000293,Balconi tiramisu coffee sponge cake 400g,$4.99,,,
11433154000,Bansi dry fruit chikki 100g,$2.49,,,Front-0
878776002210,Anand sesame chikkibar 200g,$2.49,,,
8904018658616,Chandan vita awla 200g,$3.49,,,
5201049114115,Sesame snack bar 50g,$1.49,,,
7622210521811,Cadbury dairy milk 110g,$3.49,,,
7622210834867,Cadbury chocolicious biscuits 110g,$3.99,,,
4026305,Snickers 93.3g,$2.45,,,Front-0
5034660522775,Cadbury starbar 49g,$2.99,,,
96133262,Cadbury dairymilk wholenut 45g,$1.49,,,
5000159020312,Maltesers 37g,$1.49,,,
5000159407236,Mars chocolate 51g,$1.49,,,
50312719,Cadbury twirl 43g,$1.99,,,
4008400836423,Cadbury happy hippo biscuit 103g,$3.69,,,
50312610,Cadbury dairymilk fruit&nut 49g,$1.49,,,
7622300734824,Cadbury dairy milk caramel 200g,$4.99,,,
7622300754136,Cadbury dairymilk oreo 120g,$3.99,,,
5000201468611,Cadbury crunchie 40g,$1.49,,,
7622201424763,Milka darkmilk chocolate 85g,$2.99,,,
3422007,Hershey's milk chocolate 73g,$2.45,,,Front-0
7622201114909,Cadbury dairymilk silk mousse 116g,$4.99,,,
50312351,Cadbury flake 32g,$1.49,,,
44000020255,Pokemon ritz bites 28g,$0.89,,,Front-0
7622201461911,Cadbury dairy milk 108.8g,$3.79,,,
7622300844486,Cadbury dairy milk 300g,$6.99,,,
40000004455,Starburst original 97.8g,$2.70,,,Front-0
7622210989192,Cadbury flake 80g,$3.99,,,
7622201143480,Cadbury curly wurly 21.5g,$1.29,,,
7622210644817,Cadbury dairy milk fruit&nut 110g,$3.79,,,
7622300736033,Cadbury dairy milk wholenut 200g,$4.49,,,
7622300736224,Cadbury dairymilk 200g,$4.99,,,
7622300736675,Cadbury dairy milk fruit&nut 200g,$4.99,,,
856904002400,Verka aampapad 150g,$1.99,,,Front-0
878776002227,Anand nelakadale chikki bar 200g,$2.49,,,Front-0
8906040914326,Veer rajgira patti 150g,$1.99,,,
845786150897,Hans rajgira ladoo 100g,$1.99,,,
845786150903,Hans rajgira chikki 100g,$1.99,,,
845786053075,Hans murmura chikki 200g,$2.99,,,
878776002029,Anand nelakadale laddu 200g,$2.49,,,
878776004047,Anand sesame laddu black 200g,$2.49,,,
878776002050,Anand ashtami laddu 200g,$2.49,,,
8904304716419,Sreenivasa hurigalu 200g,$5.99,,,
878776000018,Anand special white mixture 400g,$2.99,,,
8904304716488,Sreenivasa ribbon pakoda 200 g,$5.99,,,
8904304716518,Sreenivasa sabudhana pepper nippat 200g,$5.99,,,
878776000186,Anand jackfruit chips 200g,$3.49,,,
51179975026,Janaki's thick sev 198g,$2.79,,,
51179975002,Janaki's thattai 198g,$2.79,,,
51179975125,Janaki's mixture 198g,$2.79,,,
51179975033,Janaki's tengual 198g,$2.79,,,
51179975019,Janaki's mullu muruku 198g,$2.79,,,
51179975040,Janaki's spicy boondi 198g,$2.79,,,
608938792587,Abhiruchi snacks karapusa 200g,$2.99,,,
608938792549,Abhiruchi snacks chakkalu 200g,$2.99,,,
608938792570,Abhiruchi snacks spicy chakidalu 200g,$2.99,,,
608938792556,Abhiruchi snacks murukkulu 200g,$2.99,,,
608938792594,Abhiruchi snacks mixture 200g,$2.99,,,
608938792563,Abhiruchi snacks ribbon pakoda 200g,$2.99,,,
878776000025,Anand bombay mixture 400g,$2.99,,,
878776007512,Anand puri 340g,$3.49,,,
878776004443,Anand hydrabad mixture 400g,$2.99,,,
878776000193,Anand chanachur mixture X-hot 400g,$1.99,,,
878776007550,Anand bhelmix 625g,$3.99,,,
878776007628,Anand kachori 340g,$2.99,,,
878776007529,Anand bhelmix spicy 625g,$3.99,,,
878776007543,Anand mini bhakarwadi 340g,$3.49,,,
878776000001,Anand kerela mixture 400g,$1.99,,,
878776000070,Anand plantain chips 400g,$4.49,,,
878776002067,Anand puffed rice laddu 250g,$2.99,,,
878776007604,Anand bhavnagiri gathiya 400g,$3.49,,,
878776007505,Anand bhelsev 340g,$3.49,,,
878776007536,Anand bhujia 340g,$1.99,,,
878776004504,Anand masala peanuts 200g,$2.49,,,
